Year,Place,P (Blank or P),Governing Body,Type of Governing Body,5+,Description,Verified,Specific,Reception,Protection,Contact Through Trade,Partial Emancipation,Symbolic,Full Emancipation,Invited,Success Altering Country,Bribe Ends Expulsion,Leader Ends Expulsion,Conquer Country,Self Governing,Noted Holding IP,Brought in for Economic Growth,Laws Protecting Israel/Jews
1491,Tlemcen,P,,,,,,,,,,,,,,,,,,,,,
1492,"Mali, Timbuktu",P,,,,,,,,,,,,,,,,,,,,,
1492,"Taranto, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Duchy of Mecklenburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1492,"Cagliari, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Campo St. Pietro, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,Tuat,P,,,,,,,,,,,,,,,,,,,,,
1492,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Pietro, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Camarata, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Syracuse, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Lentini, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Bassano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Girgenti, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Cammarata, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Ciminna, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Sardinia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Aragon, Spain",P,,,,,,,,,,,,,,,,,,,,,
1492,Colonies of Spain,P,,,,,,,,,,,,,,,,,,,,,
1492,"Castelfranco, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Venice, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,Spain,P,,,,,,,,,,,,,,,,,,,,,
1492,"Fano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Castronuovo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Piazza, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"S. Marco, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Castroreale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Caltagirone, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Wurttenberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1492,"Ragusa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Alghero, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Sciatta, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Crema, Italy",P,,,,,,,,,,,,,,,,,,,,,
1492,"Rome, Italy",Roman Catholic,Catholic Monarchs,,,"Jews to be expelled; bribed the Borgia Pope, Alexander VI to stay (C. Roth, ‘The History of the Jews of Italy’, p. 179). |strong evidence from sources as early as 1455 of the corrupion of borgia taking bribes",0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,
1493,"Volhynia, Lithuania",,,,,"At the time, the authorities, and particularly Queen Bona (1493–1557) – within the limits of her estates – defended the rights of the Jews. The general policy of the authorities toward the townsmen was marked by a tendency to increase their obligations, which also affected the Jews. During the second half of the 16th century, the Jews began to lease inns and engaged in various branches of the economy connected with the estates.",,,,,,,,,,,,,,,,,
1493,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1493,São Tomé,P,,,,,,,,,,,,,,,,,,,,,
1493,"Magdeburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1493,"Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1493,"Pomerania, Germany",P,,,,,,,,,,,,,,,,,,,,,
1493,"Halberstadt, Germany",P,,,,,,,,,,,,,,,,,,,,,
1494,"Brescia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1494,"Trnava, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1494,"Thurgau, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1494,"Bitonto, Italy",P,,,,,,,,,,,,,,,,,,,,,
1494,"Catanzaro, Italy",P,,,,,,,,,,,,,,,,,,,,,
1494,"Acquaviva, Italy",P,,,,,,,,,,,,,,,,,,,,,
1494,"Tuscany, Italy",P,,,,,,,,,,,,,,,,,,,,,
1494,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1494,"Naumberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1494,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1494,"Lecce, Italy",P,,,,,,,,,,,,,,,,,,,,,
1494,"Cozenza, Italy",P,,,,,,,,,,,,,,,,,,,,,
1495,Lecce,P,,,,,,,,,,,,,,,,,,,,,
1495,Lithuania,P,,,,,,,,,,,,,,,,,,,,,
1495,Naples,P,,,,,,,,,,,,,,,,,,,,,
1495,"Kraków, Poland",P,,,,,,,,,,,,,,,,,,,,,
1496,Styria,P,,,,,,,,,,,,,,,,,,,,,
1496,"Carinthia, Germany;Carinthia, Slovenia",P,,,,,,,,,,,,,,,,,,,,,
1496,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1496,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1496,Portugal,P,,,,,,,,,,,,,,,,,,,,,
1497,"Isenberg-Budingen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1497,Portugal,P,,,,,,,,,,,,,,,,,,,,,
1497,"Venice, Italy",P,,,,,,,,,,,,,,,,,,,,,
1497,"Styria, Austria",P,,,,,,,,,,,,,,,,,,,,,
1498,"Nuremberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1498,"Salzburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1498,"Provence, France",P,,,,,,,,,,,,,,,,,,,,,
1498,"Navarre, Spain",P,,,,,,,,,,,,,,,,,,,,,
1498,France,P,,,,,,,,,,,,,,,,,,,,,
1498,Lithuania,P,,,,,,,,,,,,,,,,,,,,,
1499,Portugal,P,,,,,,,,,,,,,,,,,,,,,
1499,"Verona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1499,"Rhodes, Italy/ Rhodes Island, Greece",P,,,,,,,,,,,,,,,,,,,,,
1499,"Nuremberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1500,New World,,,,,"15th and 16th centuries a number of converso families migrated to the Netherlands, France and eventually Italy, from where they joined other expeditions to the Americas. Others migrated to England or France and accompanied their colonists as traders and merchants. By the late 16th century, fully functioning Jewish communities were founded in the Portuguese colony of Brazil, the Dutch Suriname and Curaçao; Spanish Santo Domingo, and the English colonies of Jamaica and Barbados. In addition, there were unorganized communities of Jews in Spanish and Portuguese territories where the Inquisition was active, including Colombia, Cuba, Puerto Rico, Mexico and Peru. Many in such communities were crypto-Jews, who had generally concealed their identity from the authorities.",,,,,,,,,,,,,,,,,
1501,Prague,P,,,,,,,,,,,,,,,,,,,,,
1501,"Provence, France",P,,,,,,,,,,,,,,,,,,,,,
1502,"Florence, Italy",,,,,"Jews to be Expelled/Saved by Catherine Sforza (C. Roth, ‘The History of the Jews of Italy’, p. 201).",0,1,1,1,1,0,0,0,1,1,1,1,,,,expulsion ended by a member of high society,
1502,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1503,Lithuania,,,,,"In 1503, Alexander authorized the Jews to return to Lithuania and restituted their property, with the exception of their estates",,,,,,,,,,,,,,,,,
1504,"Pilsen, Bohemia",P,,,,,,,,,,,,,,,,,,,,,
1504,"Moscow, Russia",P,,,,,,,,,,,,,,,,,,,,,
1504,"Piacenza, Italy",P,,,,,,,,,,,,,,,,,,,,,
1505,České Budějovice,P,,,,,,,,,,,,,,,,,,,,,
1505,"Orange, France",P,,,,,,,,,,,,,,,,,,,,,
1506,"Nola, Italy",P,,,,,,,,,,,,,,,,,,,,,
1506,"Evora, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1506,"Lisbon, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1507,"Nordlingen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1509,"Tuat, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1509,"Tlemcen, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1509,"Bougie, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1509,"Oran, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1509,"Treviso, Italy",P,,,,,,,,,,,,,,,,,,,,,
1509,"Novi, Italy",P,,,,,,,,,,,,,,,,,,,,,
1509,"Verona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1509,"Padua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1510,"Braunschweig, Germany",P,,,,,,,,,,,,,,,,,,,,,
1510,"Berlin, Germany",P,,,,,,,,,,,,,,,,,,,,,
1510,"Calabria, Italy",P,,,,,,,,,,,,,,,,,,,,,
1510,Frankfurt,P,,,,,,,,,,,,,,,,,,,,,
1510,"Brandenberg, Austria",P,,,,,,,,,,,,,,,,,,,,,
1510,"Apulia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1510,Prussia,P,,,,,,,,,,,,,,,,,,,,,
1510,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1511,Apulia,P,,,,,,,,,,,,,,,,,,,,,
1511,Conegliano,,,,,The officials of Conegliano try to expel the Jewish population but are unsuccessful.[123],,,,,,,,,,,,,,,,,
1511,"Castrovillari, Italy",P,,,,,,,,,,,,,,,,,,,,,
1511,"Reggio, Italy",P,,,,,,,,,,,,,,,,,,,,,
1511,"Lecce, Italy",P,,,,,,,,,,,,,,,,,,,,,
1511,"Conegliano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1512,"Regensburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1512,"Colmar, France",P,,,,,,,,,,,,,,,,,,,,,
1513,"Munzenbourg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1513,"Florence, Italy; Tuscany Italy",,,,,France invades Italy; Jews of Florence and Tuscany expelled when the Medici fall from power; they return in 1513 — and bring the Jews back with them,,,,,,,,,,,,,,,,,
1514,"Strasbourg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1514,Mittelberg,P,,,,,,,,,,,,,,,,,,,,,
1515,"Ljubljana, Slovenia",P,,,,,,,,,,,,,,,,,,,,,
1515,"Calabria, Italy",P,,,,,,,,,,,,,,,,,,,,,
1515,Laibach,P,,,,,,,,,,,,,,,,,,,,,
1515,"Apulia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1515,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1515,Naples,P,,,,,,,,,,,,,,,,,,,,,
1515,"Ragusa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1516,"Venice, Italy",,,,,"Establishment of ghetto (foundry) in Venice as a place of confinement for Jews, whose goal is to gain maximum economic advantage from the Jews’ presence (including taxes), while ensuring minimal social contact with population. Generalization of term to include all enclosed quarters of Jews in Europe",,,,,,,,,,,,,,,,,
1516,"Gelnhausen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1516,"Hanau, Germany",P,,,,,,,,,,,,,,,,,,,,,
1516,"Lindheim, Germany",P,,,,,,,,,,,,,,,,,,,,,
1516,"Ruckingen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1516,"Lowicz, Poland",P,,,,,,,,,,,,,,,,,,,,,
1516,"Venice, Italy",P,,,,,,,,,,,,,,,,,,,,,
1517,Safed,P,,,,,,,,,,,,,,,,,,,,,
1517,Hebron,P,,,,,,,,,,,,,,,,,,,,,
1518,"Conegliano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1519,"Dangolsheim, Germany",P,,,,,,,,,,,,,,,,,,,,,
1519,"Regensburg/Ratisbon, Germany",P,,,,,,,,,,,,,,,,,,,,,
1519,"Rothenburg ob der Tauber, Germany",P,,,,,,,,,,,,,,,,,,,,,
1519,"Wurttemberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1520,Venice,,,,,Pope Leo X allows the Jews to print the Talmud in Venice.,,,,,,,,,,,,,,,,,
1521,Belgrade,P,,,,,,,,,,,,,,,,,,,,,
1521,"Wurttemberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1522,"Nuremberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1523,Mexico,P,,,,,,,,,,,,,,,,,,,,,
1523,"Cranganore, Cochin, India",P,,,,,,,,,,,,,,,,,,,,,
1523,"Medina, Italy",P,,,,,,,,,,,,,,,,,,,,,
1523,"Bologna, Italy",P,,,,,,,,,,,,,,,,,,,,,
1524,"Rome, Italy",,,,,"The old established Jewish families of Rome come to terms with the trasmontani- newcomers from France and Germany, who were previously not accepted into Jewish leadership in Italy (see four synagogues in Venice). Roman Jewish self-government is now shared by Italian, Sicilian, Spanish and German Jews",,,,,,,,,,,,,,,,,
1524,"Calabria, Italy",P,,,,,,,,,,,,,,,,,,,,,
1524,"Marburg an der Lahn, Germany",P,,,,,,,,,,,,,,,,,,,,,
1524,"Kassel, Germany",P,,,,,,,,,,,,,,,,,,,,,
1524,"Hesse, Germany",P,,,,,,,,,,,,,,,,,,,,,
1526,Croatia,P,,,,,,,,,,,,,,,,,,,,,
1526,"Capua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1526,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1526,Slovakia,P,,,,,,,,,,,,,,,,,,,,,
1527,"Rome, Italy",,,,,"Jews Expelled/unsuccessful because of a bribe to Cardinal della Valle (C. Roth, ‘The History of the Jews of Italy’, p. 191).",,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1527,"Pavia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1527,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1527,"Florence, Italy ",P,,,,,,,,,,,,,,,,,,,,,
1528,"The Azores, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1528,Mexico City,P,,,,,,,,,,,,,,,,,,,,,
1528,"Olivenca, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1528,"Hagenau, Germany",,,,,"Jews Expelled (Bell and Burnett, ‘Jews, Judaism, and The Reformation in Sixteenth Century Germany’, p. 436).|  In 1528, *Joseph (Josel) b. Gershom of Rosheim obtained from the emperor the abrogation of an expulsion order issued by the town. Haguenau subsequently became a refuge for the Jews of the surrounding district on various occasions.  (JVL)",,,,,,,,,,,,1,,,,,Ruling Class (of Most Relevant Network)
1528,"Hagenau, Germany",P,,,,,,,,,,,,,,,,,,,,,
1528,"Santarem, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1528,"Madeira, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1528,"Gouvea, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1528,"Alentejo, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1529,Pezinok,P,,,,,,,,,,,,,,,,,,,,,
1529,"Posen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1530,"Ausberg, Germany",,,,,Attempted Jewish Expulsion for Jews colluding with Turks in Hungary; cancelled by Josel of Rosheim’s lobbying/bribing efforts,,,,,,,,,,,,,,,,,
1530,"Strasbourg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1530,"Augsburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1530,"Modena, Italy",P,,,,,,,,,,,,,,,,,,,,,
1531,"Capua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1532,"Mantua, Duchy of Mantua (Italy)",P,,,,,,,,,,,,,,,,,,,,,
1532,"Hesse-Kassel, Germany",,,,,"Attempted Expulsion of Jews; failed after Jews bribe Landgrave William II (Bell and Burnett, ‘Jews, Judaism, and The Reformation in Sixteenth Century Germany’, p. 441-443). |In 1524 Landgrave Philip the Magnanimous expelled the Jews from his territory but allowed them to return shortly afterward. (once again JVL source does not include bribe in description) As Emperor Louis IV of Bavaria (1314–47) and his successors usually transferred rights over the Jews to the nobles, the majority of the Jews of Hesse lived in villages and towns under the protection of the nobles and not in the cities belonging to the emperor. In 1524 Landgrave Philip the Magnanimous expelled the Jews from his territory but allowed them to return shortly afterward. His adviser in religious affairs, the Protestant reformer Martin *Bucer, demanded that he humiliate the Jews and limit their rights. Although Philip did not respond to this request, his 1539 Judenreglement, the model for future Hessian legislation regulating Jewish rights, while relatively favorable, included a prohibition on the building of new synagogues and commanded the Jews not to resist efforts to convert them. After Philip's death in 1567 Hesse was divided among his four sons, with two principalities, Hesse-Kassel and Hesse-Darmstadt, emerging with sizable Jewish populations. For the history of Hesse-Homburg Jewry, see *Homburg.",,,,,,,,,,,,,,,,,
1533,"Constance, Germany",P,,,,,,,,,,,,,,,,,,,,,
1533,"Silesia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1533,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1535,Tunis,P,,,,,,,,,,,,,,,,,,,,,
1536,"Saxony, Germany",P,,,,,,,,,,,,,,,,,,,,,
1536,"Nagasaki, Japan",P,,,,,,,,,,,,,,,,,,,,,
1537,Italy,,,,,"The rule of Cosimo I of Florence ushers in a renewed era of growth and prosperity for the Jews, with restored Medici favor and protection | After actively courting the Jews in the 1540's and 1550's and granting them many privileges, Cosimo I began retrenching in the late 1560's and 1570's as political relations with Spain and the Papal State became paramount. In 1567 he reimposed badges of identification for Jews, in 1570 shut the Jewish banks, and in 1570-71 restricted legal Jewish settlement to two new ghettos in Florence and Siena.(JVL)",,,,,,,,,,,,,,,,,
1538,Prussia,,,,,"Teutonic order under Duke Albert I of Prussia (1522–77) that two Jewish physicians were allowed to settle temporarily in Koenigsberg (1538–41). From the 17th century Jews came in ever increasing numbers to the then staunchly Protestant region, where they were welcomed by the ruling circles. (JVL)",,,,,,,,,,,,,,,,,
1539,"Nauheim, Hesse, Germany",P,,,,,,,,,,,,,,,,,,,,,
1539,Kraków,P,,,,,,,,,,,,,,,,,,,,,
1539,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1539,Portugal,P,,,,,,,,,,,,,,,,,,,,,
1540,"Milan, Italy",P,,,,,,,,,,,,,,,,,,,,,
1540,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1540,"Prague, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1541,"Tittingen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1541,"Otranto, Italy",P,,,,,,,,,,,,,,,,,,,,,
1541,Colmar,P,,,,,,,,,,,,,,,,,,,,,
1541,"Venice, Italy",,,,,"Venetian Senate grants Levantine Jews permission to reside in Venice, as a result of the increased participation of Sephardic Jews in Balkan commerce; and is an attempt by Italian princes to fill their coffers at the expense of local interests (rights were granted for the financial benefit to Christian rulers, not to improve Jews’ lot)",,,,,,,,,,,,,,,,,
1541,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1541,"Bohemia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1542,"Hildesheim, Germany",P,,,,,,,,,,,,,,,,,,,,,
1542,"Piotrkow, Poland",P,,,,,,,,,,,,,,,,,,,,,
1542,"Prague, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1542,Cracow,P,,,,,,,,,,,,,,,,,,,,,
1543,"Goslar, Germany",P,,,,,,,,,,,,,,,,,,,,,
1543,"Muehlhausen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1543,"Goa, India",P,,,,,,,,,,,,,,,,,,,,,
1543,"Basel, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1543,Prague,P,,,,,,,,,,,,,,,,,,,,,
1544,"Wurzburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1546,"Braunschweig, Germany",P,,,,,,,,,,,,,,,,,,,,,
1547,"Asolo,  Treviso, Italy",P,,,,,,,,,,,,,,,,,,,,,
1547,Poland,P,,,,,,,,,,,,,,,,,,,,,
1547,"Ancona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1547,"Ancona, Italy",,,,,"Jews Expelled/Self-deported after friar’s boycott of Jewish banks (C. Roth, ‘The History of the Jews of Italy’, p. 182).| conflicting source where they were invited according to the JVL:  In 1541 he encouraged the settlement of Jews expelled from Naples and in 1547 extended the invitation to Marranos, whom he promised to protect against the Inquisition. *Julius III renewed these guarantees, and about 100 Portuguese Marrano families apparently settled in Ancona. Jews from Germany also arrived in this period. Thus, around 1550 the Jewish community numbered around 2,700 persons (JVL)|. At first mercantile interests prevailed. Pope Paul III invited Levantine merchants to settle there regardless of their religion. In 1541, he encouraged the settlement of Jews expelled from Naples and in 1547 extended the invitation to crypto-Jews, to whom he promised protection against the Inquisition. However, in 1555 his successor, Pope Paul IV, began instituting anti-Jewish measures in the Papal States. https://www.j-italy.org/ancona/ in 1556 it appears a wealthy individual used the boycott to punish ancona for the Papal States' decision to impose restrictions on jews https://halakhaoftheday.org/2022/06/27/dona-gracia-mendes-and-the-boycott-to-ancona-1556/																			",,,,,,,,,,,,,,,,,
1547,Russia,P,,,,,,,,,,,,,,,,,,,,,
1549,"Goslar, Germany",P,,,,,,,,,,,,,,,,,,,,,
1550,"Venice, Italy",P,,,,,,,,,,,,,,,,,,,,,
1550,"Henneberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1550,"Madrid, Spain",P,,,,,,,,,,,,,,,,,,,,,
1550,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1551,"Duchy of Tuscany, Italy",,,,,Grand Duke of Tuscany issues charter to attract Sephardic Jewish merchants from Balkans to Pisa. They trade using routes through Ancona and Pesaro,,,,,,,,,,,,,,,,,
1551,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1553,"Hanover, Germany",P,,,,,,,,,,,,,,,,,,,,,
1553,"Asti, Italy",P,,,,,,,,,,,,,,,,,,,,,
1554,"Ancona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1554,Rome,P,,,,,,,,,,,,,,,,,,,,,
1555,"Ancona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1555,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1555,"Pesaro, Italy",P,,,,,,,,,,,,,,,,,,,,,
1555,"Pitigliano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1556,"Ancona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1556,"Benevento, Italy",P,,,,,,,,,,,,,,,,,,,,,
1556,"Thuringia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1556,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1556,"Udine, Italy",P,,,,,,,,,,,,,,,,,,,,,
1556,"Sokhachev, Khelm, Ukraine/Sokhachev (Poland)",P,,,,,,,,,,,,,,,,,,,,,
1556,"Bologna, Italy",P,,,,,,,,,,,,,,,,,,,,,
1557,Prague,P,,,,,,,,,,,,,,,,,,,,,
1557,"Prague, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1557,"Bohemia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1557,"Cremona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1558,"Urbino, Italy",P,,,,,,,,,,,,,,,,,,,,,
1558,"Recanati, Italy",P,,,,,,,,,,,,,,,,,,,,,
1559,"Bohemia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1559,"Civitanova, Italy",P,,,,,,,,,,,,,,,,,,,,,
1559,"Pavia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1559,Austria,P,,,,,,,,,,,,,,,,,,,,,
1560,"Turin, Italy",P,,,,,,,,,,,,,,,,,,,,,
1560,"Goa, India",P,,,,,,,,,,,,,,,,,,,,,
1560,"Casale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1560,"Monferrat, Italy",P,,,,,,,,,,,,,,,,,,,,,
1560,"Piedmont, Savoy, Italy",,,,,"Jews Expelled by Duke Emanuele Filiberto, “Iron Head”/cancelled shortly after intercession by a bribed Azariah de ’Rossi, (C. Roth, ‘The History of the Jews of Italy’, p. 312-313). | In 1560 and 1566 Duke Emmanuel Philibert decreed that the Jews be expelled, but the decrees were canceled because of the intervention of influential people and the annual payment by the Jews of 20,000 florins. (JVL)",1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1560,"Conegliano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1560,"Piedmont, Savoy, Italy",P,,,,,,,,,,,,,,,,,,,,,
1561,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1561,"Gorizia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1561,"Friuli, Italy",P,,,,,,,,,,,,,,,,,,,,,
1561,"Piedmont, Savoy, Italy",P,,,,,,,,,,,,,,,,,,,,,
1561,"Prague, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1562,"Acqui, Italy",P,,,,,,,,,,,,,,,,,,,,,
1563,"Polotsk, Russia",P,,,,,,,,,,,,,,,,,,,,,
1564,"Brest-Litovsk, Poland",P,,,,,,,,,,,,,,,,,,,,,
1564,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1565,"Prague, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1566,"Piedmont, Savoy, Italy",,,,,"Jews Expelled again/cancelled again because of “20,000 florin” bribe (C. Roth, ‘The History of the Jews of Italy’, p. 313). 1561-1565AD Jews Expelled by Duke Emanuele Filiberto, “Iron Head”/cancelled shortly after intercession by a bribed Azariah de ’Rossi, (C. Roth, ‘The History of the Jews of Italy’, p. 312-313). | In 1560 and 1566 Duke Emmanuel Philibert decreed that the Jews be expelled, but the decrees were canceled because of the intervention of influential people and the annual payment by the Jews of 20,000 florins. (JVL) From 1561 a guardian (conservatore) was given jurisdiction over the Jews and in some cases also represented them. The duke chose the guardian from among the senators from 1603 to 1626: thereafter he chose him from the names of three senators submitted by the Jews. Charles Emmanuel I (1580–1630) allowed the monopoly granted to Jewish moneylenders to remain in force, and he rejected Cardinal Carlo *Borromeo's demands for the expulsion of the Jews and the establishment of a ghetto in Turin. The most outstanding rabbi in the 16th century was Nethanel b. Shabbetai ha-Dani. The majority of the Jews engaged in moneylending and were in close economic cooperation with the dukes of Savoy, extending to them large loans. In 1624 there were nine Jewish banks in Turin. The Talmud Torah Fraternity was founded in 1662. In 1679, after the death of Charles Emmanuel II, the reigning duchess, Maria Giovanna of Nemours, guardian of Duke Victor Amadeus II, decreed the establishment of the ghetto. Thus in 1680 the approximately 750 Jews of Turin were collected in one building which had been used as a hospital for beggars. The most important rabbis of 17th century Turin were Joseph Calvo, Daniel b. Joseph Calvo, and Joseph b. Michael Ravenna.",1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0
1566,Ancona,P,,,,,,,,,,,,,,,,,,,,,
1566,Rome,P,,,,,,,,,,,,,,,,,,,,,
1566,Avignon,P,,,,,,,,,,,,,,,,,,,,,
1566,"Madrid, Spain",P,,,,,,,,,,,,,,,,,,,,,
1566,"Papal States, Italy",P,,,,,,,,,,,,,,,,,,,,,
1566,"Madrid, Spain",,,,,"Jews Expelled/Cancelled by bribe (C. Roth, ‘The History of the Jews of Italy’, p. 322).",0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1566,"Alessandria, Italy",P,,,,,,,,,,,,,,,,,,,,,
1567,France,,,,,Jews are allowed to live in France.,,,,,,,,,,,,,,,,,
1567,"Conegliano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1567,"Wurzburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1567,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1568,"Bergheim, Germany",P,,,,,,,,,,,,,,,,,,,,,
